timestamp,TimeUS,Ground_Truth
152.79709300,152797093,0
152.79762000,152797620,0
152.79815800,152798158,0
152.79868900,152798689,0
152.79921300,152799213,0
152.79973700,152799737,0
152.80041200,152800412,0
152.80095100,152800951,0
152.80147600,152801476,0
152.80199900,152801999,0
152.80253200,152802532,0
152.80306000,152803060,0
152.80358800,152803588,0
152.80411200,152804112,0
152.80463700,152804637,0
152.80516100,152805161,0
152.80568900,152805689,0
152.80621400,152806214,0
152.80674100,152806741,0
152.80743600,152807436,0
152.80796400,152807964,0
152.80849200,152808492,0
152.80901700,152809017,0
152.80954100,152809541,0
152.81006800,152810068,0
152.81059600,152810596,0
152.81112200,152811122,0
152.81164700,152811647,0
152.81217100,152812171,0
152.81269500,152812695,0
152.81322400,152813224,0
152.81385200,152813852,0
152.81443600,152814436,0
152.81496200,152814962,0
152.81549000,152815490,0
152.81601700,152816017,0
152.81655000,152816550,0
152.81707400,152817074,0
152.81760100,152817601,0
152.81812900,152818129,0
152.81865400,152818654,0
152.81917700,152819177,0
152.81970100,152819701,0
152.82022700,152820227,0
152.82095400,152820954,0
152.82147900,152821479,0
152.82200400,152822004,0
152.82253800,152822538,0
152.82306600,152823066,0
152.82359200,152823592,0
152.82412800,152824128,0
152.82465300,152824653,0
152.82518700,152825187,0
152.82571500,152825715,0
152.82624100,152826241,0
152.82693600,152826936,0
152.82746000,152827460,0
152.82798700,152827987,0
152.82851500,152828515,0
152.82904200,152829042,0
152.82956600,152829566,0
152.83009100,152830091,0
152.83062200,152830622,0
152.83114700,152831147,0
152.83167100,152831671,0
152.83219600,152832196,0
152.83272300,152832723,0
152.83331200,152833312,0
152.83394400,152833944,0
152.83446800,152834468,0
152.83499200,152834992,0
152.83552400,152835524,0
152.83605300,152836053,0
152.83658400,152836584,0
152.83710800,152837108,0
152.83763700,152837637,0
152.83818500,152838185,0
152.83871300,152838713,0
152.83923500,152839235,0
152.83994000,152839940,0
152.84046900,152840469,0
152.84099500,152840995,0
152.84152800,152841528,0
152.84205200,152842052,0
152.84257500,152842575,0
152.84310400,152843104,0
152.84363100,152843631,0
152.84415700,152844157,0
152.84468400,152844684,0
152.84520900,152845209,0
152.84573700,152845737,0
152.84643400,152846434,0
152.84696600,152846966,0
152.84749000,152847490,0
152.84801800,152848018,0
152.84854400,152848544,0
152.84906800,152849068,0
152.84959500,152849595,0
152.85012400,152850124,0
152.85066100,152850661,0
152.85118500,152851185,0
152.85170900,152851709,0
152.85223400,152852234,0
152.85291300,152852913,0
152.85344100,152853441,0
152.85396500,152853965,0
152.85449200,152854492,0
152.85502300,152855023,0
152.85555300,152855553,0
152.85607800,152856078,0
152.85660200,152856602,0
152.85712500,152857125,0
152.85765800,152857658,0
152.85818700,152858187,0
152.85871400,152858714,0
152.85924000,152859240,0
152.85995100,152859951,0
152.86048000,152860480,0
152.86100600,152861006,0
152.86152900,152861529,0
