Wall time,Step,Value
1666101945.0375962,253952,-61.80500030517578
1666102072.5372307,256000,-54.20000076293945
1666102197.4939203,258048,-55.25
1666102349.39589,260096,-47.63999938964844
1666102477.55819,262144,-52.529998779296875
1666102602.1529937,264192,-56.790000915527344
1666102724.4451964,266240,-62.6150016784668
1666102847.694172,268288,-67.82499694824219
1666102987.7296307,270336,-63.36000061035156
1666103112.0734003,272384,-66.29499816894531
1666103246.1370485,274432,-52.22999954223633
1666103370.0593987,276480,-48.275001525878906
1666103497.0092626,278528,-39.755001068115234
1666103641.124676,280576,-31.985000610351562
1666103776.1107416,282624,-22.079999923706055
1666103912.1068068,284672,-20.975000381469727
1666104037.3956096,286720,-27.469999313354492
1666104169.5966532,288768,-38.275001525878906
1666104318.6051612,290816,-41.314998626708984
1666104443.6613748,292864,-44.6349983215332
1666104576.8254042,294912,-40.5
1666104710.9066694,296960,-41.564998626708984
1666104839.6776083,299008,-38.875
1666104993.8150437,301056,-43.86000061035156
1666105123.4966264,303104,-42.834999084472656
1666105249.0746222,305152,-48.07500076293945
1666105379.3038661,307200,-57.130001068115234
1666105510.3944283,309248,-57.494998931884766
1666105658.3455143,311296,-53.25
1666105781.133058,313344,-57.494998931884766
1666105903.6216161,315392,-62.0
1666106032.833461,317440,-56.54999923706055
1666106153.4277842,319488,-59.78499984741211
1666106301.9296124,321536,-57.584999084472656
1666106434.2679665,323584,-58.814998626708984
1666106560.1930313,325632,-49.51499938964844
1666106685.0826826,327680,-43.400001525878906
1666106814.1520796,329728,-46.125
1666106973.7271461,331776,-46.095001220703125
1666107110.18478,333824,-43.619998931884766
1666107249.0899093,335872,-30.524999618530273
1666107386.7087939,337920,-30.735000610351562
1666107512.5087552,339968,-29.190000534057617
1666107677.6011205,342016,-33.119998931884766
1666107816.4251456,344064,-30.75
1666107968.880101,346112,-22.354999542236328
1666108120.4841497,348160,-7.480000019073486
1666108290.214607,350208,-3.815000057220459
1666108429.7117395,352256,-7.784999847412109
1666108578.4243886,354304,-6.364999771118164
1666108721.167548,356352,-4.699999809265137
1666108866.822473,358400,-8.170000076293945
1666109026.3926258,360448,-6.659999847412109
1666109170.3520675,362496,-8.130000114440918
1666109319.494823,364544,-6.414999961853027
1666109458.0354295,366592,-8.875
1666109605.8743253,368640,-3.1500000953674316
1666109768.0490484,370688,-4.284999847412109
1666109920.8155615,372736,-1.034999966621399
1666110074.9737294,374784,1.565000057220459
1666110226.216031,376832,4.324999809265137
1666110377.8825662,378880,5.664999961853027
1666110547.1291013,380928,3.5450000762939453
1666110700.7069967,382976,1.1150000095367432
1666110851.5480711,385024,4.710000038146973
1666110992.4859757,387072,6.675000190734863
1666111140.464515,389120,5.099999904632568
1666111317.9771612,391168,5.394999980926514
1666111468.23103,393216,2.934999942779541
1666111622.30418,395264,3.1449999809265137
1666111770.8055842,397312,-0.3400000035762787
1666111932.75103,399360,1.8650000095367432
1666112100.0747535,401408,6.949999809265137
1666112253.1637108,403456,14.824999809265137
1666112404.2235231,405504,13.5649995803833
1666112558.5879302,407552,9.479999542236328
